city,year,date,time,no2,pm10,pm25,datetime
Leeds,2017,11-11-2017,03:00:00,23.17841,9.3,5.9,2017-11-11T03:00:00Z
Leeds,2017,11-11-2017,04:00:00,24.22574,7.7,6,2017-11-11T04:00:00Z
Leeds,2017,11-11-2017,05:00:00,30.16766,10.1,9.9,2017-11-11T05:00:00Z
Leeds,2017,11-11-2017,06:00:00,27.13678,7.8,9.4,2017-11-11T06:00:00Z
Leeds,2017,11-11-2017,07:00:00,30.05025,6.8,6.5,2017-11-11T07:00:00Z
Leeds,2017,11-11-2017,08:00:00,36.313720000000004,7,4,2017-11-11T08:00:00Z
Leeds,2017,11-11-2017,09:00:00,34.4557,5.5,4.6,2017-11-11T09:00:00Z
Leeds,2017,11-11-2017,10:00:00,37.81077,10.5,5.8,2017-11-11T10:00:00Z
Leeds,2017,11-11-2017,11:00:00,25.80038,11.3,5.7,2017-11-11T11:00:00Z
Leeds,2017,11-11-2017,12:00:00,22.52493,8.3,5.6,2017-11-11T12:00:00Z
Leeds,2017,11-11-2017,13:00:00,23.14204,6.1,5.8,2017-11-11T13:00:00Z
Leeds,2017,11-11-2017,14:00:00,32.23286,12.1,5.8,2017-11-11T14:00:00Z
Leeds,2017,11-11-2017,15:00:00,39.08988,13,6.8,2017-11-11T15:00:00Z
Leeds,2017,11-11-2017,16:00:00,46.39418,10.4,5.9,2017-11-11T16:00:00Z
Leeds,2017,11-11-2017,17:00:00,54.86607,9.8,6.8,2017-11-11T17:00:00Z
Leeds,2017,11-11-2017,18:00:00,74.72084,20.2,15.3,2017-11-11T18:00:00Z
Leeds,2017,11-11-2017,19:00:00,66.61196,25,16.5,2017-11-11T19:00:00Z
Leeds,2017,11-11-2017,20:00:00,56.00602,24.9,16,2017-11-11T20:00:00Z
Leeds,2017,11-11-2017,21:00:00,44.10187,21.4,16.9,2017-11-11T21:00:00Z
Leeds,2017,11-11-2017,22:00:00,46.69664,22.1,17.5,2017-11-11T22:00:00Z
Leeds,2017,11-11-2017,23:00:00,40.89406,17.8,10.6,2017-11-11T23:00:00Z
